Name,Email,Country Code,Area Code,Phone,Age
John Doe,John.Doe@gmail.com,"1","415","839-2847",17
Jane Doe,Jane.Doe@gmail.com,"1","312","492-7365",13
Billy Joe,Billy.Joe@gmail.com,"1","617","203-9584",20
James James,James.James@yahoo.com,"44","20","7946-1298",24
Michael Frederick,Michael.Frederick@yahoo.com,"44","121","238-9432",26
Christopher Cheryl,Christopher.Cheryl@yahoo.com,"44","131","657-4821",22
Jessica Autumn,Jessica.Autumn@yahoo.com,"33","1","4567-9832",23
Matthew Tyrone,Matthew.Tyrone@yahoo.com,"33","4","7892-3321",34
Ashley Martha,Ashley.Martha@gmail.com,"33","3","5643-1987",35
Jennifer Omar,Jennifer.Omar@outlook.com,"55","11","99876-5432",20
Joshua Lydia,Joshua.Lydia@yahoo.com,"55","21","87654-3210",41
Amanda Jerome,Amanda.Jerome@yahoo.com,"55","31","93456-7890",45
Daniel Theodore,Daniel.Theodore@gmail.com,"261","20","654-7890",20
David Abby,David.Abby@yahoo.com,"261","32","123-4567",22
James Neil,James.Neil.yahoo.com,"261","34","987-6543",23
Robert Shawna,Robert.Shawna@gmail.com,"212","5","3245-9876",56
John Sierra,John.Sierra@gmailcom,"212","6","4567-1234",61
Joseph Nina,Joseph.Nina@gmail.com,"212","7","8912-3456",80
Andrew Tammy,Andrew.Tammy,"44","113","204-8392",19
Ryan Nikki,Ryan.Nikki@yahoo,"33","2","6789-1234",20
